code,date,rank,trend_score,rating,confidence,prob_up_1d,prob_up_3d,prob_up_5d,pred_return_1d,pred_return_3d,pred_return_5d,ret_5d,ret_20d,rel_ret_5d,rel_ret_20d,turnover,log_money
bj832522,2025-09-30,51,35.064935064935064,偏弱,0.23071964952278914,0.6153077829662119,0.6191431473167262,0.6116285440012457,0.0009680791562120868,0.003907865893542946,0.002145591388957718,-0.09232512036250373,0.02118846582762446,-0.10827297780252598,0.014799360224651004,0.0296998111159661,19.345282031299426
bj430139,2025-09-30,52,33.76623376623377,偏弱,0.22296175057303924,0.6145862316723262,0.6148812359795813,0.6049751582076514,0.004060248039497192,0.0055796010612194046,0.002273661955130896,-0.008792965627497651,-0.042471042471042164,-0.0247408230675199,-0.04886014807401562,0.0159339471708822,18.459258327265054
bj832876,2025-09-30,53,32.467532467532465,偏弱,0.20403782415734675,0.5972182016523967,0.6080457432212154,0.600792791362408,0.0020886438413216715,0.004618566757265986,0.001986946785418592,-0.0009826400262037405,-0.07910628019323707,-0.01693049746622599,-0.08549538579621052,0.0371368772453588,17.60852743506305
bj831152,2025-09-30,54,31.16883116883117,偏弱,0.21456377371171365,0.6123046744693248,0.6100825828343996,0.599458403263846,0.002615846051666683,0.004263348916064284,0.0009278955510880205,0.026634382566586012,0.03313840155945402,0.010686525126563762,0.026749295956480568,0.0194490771041936,17.3508411136442
bj831087,2025-09-30,55,29.87012987012987,偏弱,0.19102517902838115,0.5932918173925489,0.5988444436170066,0.5944015075330162,0.0030747446988085535,0.0022490211726009716,0.0016966600705311434,0.048128342245989275,-0.1379879054425509,0.032180484805967025,-0.14437701104552436,0.0220069357317187,17.835063234730075
bj831304,2025-09-30,56,28.57142857142857,偏弱,0.2029245938905017,0.6036820826869702,0.6039954061998686,0.5967094019489138,0.003426799591864627,0.003688604552347137,0.001255660147882461,-0.0022222222222223476,-0.05870020964360556,-0.018170079662244598,-0.06508931524657902,0.0164093087031304,16.676926502340205
bj830896,2025-09-30,57,27.27272727272727,偏弱,0.2164439752583379,0.6129874500516784,0.6075686476560728,0.6041098651797556,0.0016067660736103042,0.002718530674153955,0.00043544957898509237,-0.005657708628005853,-0.07863695937090454,-0.021605566068028104,-0.08502606497387799,0.0494055084691367,17.65831552369987
bj832978,2025-09-30,58,25.97402597402597,偏弱,0.2441762976267731,0.6140567499301913,0.6229507176604195,0.6292569788495488,-0.00015675701352419174,0.003453750114518539,-0.0012017835186832453,-0.07947805456702262,0.12138728323699399,-0.09542591200704487,0.11499817763402054,0.0618271975152136,19.3122576618114
bj832662,2025-09-30,59,24.675324675324674,偏弱,0.21684715954146752,0.6092423892064757,0.6092949394344966,0.606733410671229,0.0017109506738651383,0.0033593982239475424,1.1744857140085635e-06,-0.09104046242774622,-0.10856009070294814,-0.10698831986776847,-0.1149491963059216,0.0554248544802673,17.587084354904
bj832175,2025-09-30,60,23.376623376623375,偏弱,0.19154978805848902,0.5940372103916469,0.5990910801278653,0.5941963915682213,0.002245628946576904,0.00308334480848582,0.0010029480266243898,0.006666666666666599,-0.07996953541507967,-0.009281190773355652,-0.08635864101805313,0.0267927966975066,17.061455097085375
bj831832,2025-09-30,61,22.07792207792208,偏弱,0.2206999576263989,0.6114274264415736,0.6156161604813306,0.6040063495166942,0.002479103897822471,0.004639564508962681,-0.00023182850557334263,0.026615969581748944,-0.04017063633131901,0.010668112141726693,-0.046559741934292465,0.0318300228779475,18.131041985104382
bj830839,2025-09-30,62,20.77922077922078,偏弱,0.21579154599115982,0.6014087337432791,0.611928239660306,0.6103503455831547,0.0034097268902480576,0.003429115692470611,-0.00039439314692457455,-0.07488986784140939,-0.0007137758743746003,-0.09083772528143164,-0.007102881477348055,0.0344088814712633,18.373917405383516
bj831961,2025-09-30,63,19.480519480519483,弱,0.2166369185884256,0.6038997605572961,0.6090315137876071,0.6120241035377352,0.0013094712845178394,0.0014272817304821616,-0.0006674744627377261,-0.050542740841248546,-0.009203539823009477,-0.0664905982812708,-0.015592645425982932,0.1021902864636135,19.528697911111184
bj831689,2025-09-30,64,18.181818181818183,弱,0.18426331600262355,0.58310534800214,0.5947338635285899,0.5985557624732054,0.0005106861168166846,0.002079974989198738,0.00035464612327676685,-0.0773087071240105,-0.15836341756919348,-0.09325656456403275,-0.16475252317216693,0.0489367731613751,17.994922169306147
bj832145,2025-09-30,65,16.883116883116884,弱,0.1909966371637001,0.5834685210858778,0.6008344639383368,0.6021919707213356,-0.004829155525054801,-0.004218785637985011,-0.0018321222018900327,0.030181086519114775,0.12576956904133652,0.014233229079092524,0.11938046343836306,0.0740434414146965,18.39679263141503
bj430047,2025-09-30,66,15.584415584415584,弱,0.1832881843833456,0.5881190164206307,0.5976795790931065,0.5891336810612812,0.0023597477737580287,0.002263342170062548,-0.00186999210515215,0.05210504376823666,-0.028109356950327347,0.03615718632821441,-0.0344984625533008,0.0169797993938328,18.15619093311085
bj831305,2025-09-30,67,14.285714285714285,弱,0.1836381598723004,0.5867121821783817,0.5993776004917774,0.5893674571382915,0.0011765454519619117,0.0016349899249331035,-0.0021726029915703614,0.05508320881081419,-0.021028625258907363,0.03913535137079194,-0.027417730861880818,0.0239672074157044,17.902817262462833
bj832982,2025-09-30,68,12.987012987012985,弱,0.20965171890415127,0.6135970417686506,0.6038760449277,0.5970044916598763,0.0017755086256693632,0.00025379092870772384,-0.004291621660045422,-0.013465179336608513,-0.08315678801312532,-0.029413036776630763,-0.08954589361609877,0.0087806319191135,18.837279311124252
bj830946,2025-09-30,69,11.688311688311687,弱,0.17272655482280386,0.5805946714742242,0.5918111301708529,0.5866840305891288,0.0016169810069943881,0.0011806328075190556,-0.0017503921569387484,0.005459508644222177,-0.08450704225352046,-0.010488348795800073,-0.09089614785649391,0.006283847526878,17.20228908577881
bj832491,2025-09-30,70,10.38961038961039,弱,0.20353025825340235,0.6021065012420886,0.6024158536473655,0.6007730324906494,-0.00010150935488850211,-0.000573251492427383,-0.004467871914653049,0.039114614918132284,0.06131929389904056,0.023166757478110034,0.054930188296067106,0.0641512822432097,19.362580511299967
bj832149,2025-09-30,71,9.090909090909092,弱,0.2018206050205326,0.6013677907114398,0.6043024404148263,0.5970606764045329,0.0011734015109417797,0.0012662265841027536,-0.004499453601483469,0.024144869215291687,-0.10229276895943595,0.008197011775269436,-0.10868187456240941,0.0579090844104579,18.52782059465427
bj832000,2025-09-30,72,7.792207792207792,弱,0.20918318045968562,0.5976053800285631,0.607885394875993,0.6082839957849723,0.0008731688728831283,0.0007647227865282512,-0.00637163284545441,-0.10145497443963802,0.0439644795081211,-0.11740283187966027,0.037575373905147647,0.1331401287202704,18.815220668993312
bj832651,2025-09-30,73,6.493506493506493,弱,0.1824723939893861,0.5853878246241236,0.5927336557703993,0.5955871105895563,-0.0010937642135195869,-0.0020642210747907,-0.004657840217643269,0.04690117252931292,0.03993344425956735,0.030953315089290667,0.0335443386565939,0.0685734105381315,17.48577242534402
bj830779,2025-09-30,74,5.194805194805195,弱,0.18528435173849248,0.6000286807668832,0.5933719889903585,0.584525857850497,0.0009768736484148288,-0.0006914191096745591,-0.007370907015073276,0.00287150035893724,-0.06844030636727927,-0.01307635708108501,-0.07482941197025272,0.0471479796390012,17.4974618929889
bj831010,2025-09-30,75,3.896103896103896,弱,0.15935731999911015,0.5695479309373791,0.5876000936874067,0.5818879553738794,-0.0005452153296699323,-0.0015570736891446476,-0.005744521599002128,0.009946442234123776,-0.07042253521126796,-0.006001415205898475,-0.07681164081424141,0.0387913490366161,18.30178243786305
bj831627,2025-09-30,76,2.5974025974025974,弱,0.172116444445885,0.5876465757898213,0.5864761147907601,0.5840519760882461,-0.00418490690153429,-0.007655118091515485,-0.013848530869083924,0.051051051051051344,0.019293775027302784,0.03510319361102909,0.01290466942432933,0.1170047311368612,18.853482270778578
bj830809,2025-09-30,77,1.2987012987012987,弱,0.1519457626977041,0.5705281212205222,0.5847729532487982,0.5726175695772358,-0.0026673644994695553,-0.005036107584165564,-0.011976771602324863,0.066552901023891,0.08506944444444464,0.05060504358386875,0.07868033884147119,0.0658636053298826,19.049305440579477
