index_code,date,open,close,low,high,volume,money,change
sz399001,1996-07-04,2077.63,2087.09,2042.69,2091.92,561503500.0,3669036000.0,0.018236726171019457
sz399001,1996-07-03,1978.49,2049.71,1976.79,2050.69,444525400.0,2751952800.0000005,0.037964491527998634
sz399001,1996-07-02,1929.13,1974.74,1928.39,1980.50,351672000.0,1890808000.0,0.016445421275588235
sz399001,1996-07-01,2008.82,1942.79,1934.76,2018.22,544909000.0,2838725100.0,-0.05649958963251478
sz399001,1996-06-28,2118.67,2059.13,2058.56,2127.28,682975100.0,3537914800.0,-0.03148987808549053
sz399001,1996-06-27,2152.19,2126.08,2118.01,2162.58,619718100.0,3236357800.0000005,-0.008187047204974873
sz399001,1996-06-26,2121.58,2143.63,2114.21,2147.46,615345700.0,3120946900.0,0.008705349790365746
sz399001,1996-06-25,2130.65,2125.13,2092.14,2164.61,1010263900.0,5007145900.0,-0.013247216366557235
sz399001,1996-06-24,2102.71,2153.66,2094.11,2153.84,870950400.0,4602536900.0,0.027995093102180624
sz399001,1996-06-21,2109.92,2095.01,2081.35,2131.66,753348800.0,4076915900.0000005,-0.0007583706954115144
sz399001,1996-06-20,2050.56,2096.6,2049.42,2106.75,791492400.0,4818918900.0,0.02020855737274152
sz399001,1996-06-19,2060.31,2055.07,2020.01,2073.81,786895400.0,4497629100.0,0.002013710786273659
sz399001,1996-06-18,1994.61,2050.94,1983.64,2052.92,606369100.0,3205219000.0,0.0312708988057826
sz399001,1996-06-17,2004.21,1988.75,1982.38,2032.50,724160700.0,3759887100.0,-0.010444137052554092
sz399001,1996-06-14,2053.62,2009.74,2003.54,2063.98,948725200.0,4799822800.0,-0.016780493532416174
sz399001,1996-06-13,2010.66,2044.04,1997.04,2045.11,968141900.0,5055075800.0,0.02660894197060859
sz399001,1996-06-12,1970.93,1991.06,1952.47,1998.54,780128700.0,4381550000.0,0.021203044539728655
sz399001,1996-06-11,1892.62,1949.72,1889.64,1964.09,599607500.0,3882138800.0,0.035619814517756865
sz399001,1996-06-10,1889.37,1882.66,1863.96,1899.77,662649900.0,3501660900.0000005,-0.001707425711073851
sz399001,1996-06-07,1866.27,1885.88,1849.47,1920.86,829714600.0,4949706200.0,0.013020777379085136
sz399001,1996-06-06,1829.07,1861.64,1770.37,1879.28,669227200.0,4052930000.0,0.015585875062054555
sz399001,1996-06-05,1857.60,1833.07,1817.46,1880.59,863086200.0,4966657000.0,-0.007160305260820343
sz399001,1996-06-04,1805.03,1846.29,1793.34,1862.18,1066921900.0,5654410699.999999,0.02113856211319254
sz399001,1996-06-03,1758.06,1808.07,1729.39,1856.14,1366703400.0,7311824800.0,0.0418870794869135
sz399001,1996-05-31,1608.68,1735.38,1603.01,1748.42,845694100.0,4308440000.0,0.07634482630296047
sz399001,1996-05-30,1629.70,1612.29,1586.88,1639.63,623070200.0,2933253100.0,-0.006066098278189824
sz399001,1996-05-29,1562.36,1622.13,1561.84,1622.25,426350500.0,1866552900.0,0.03827616444669202
sz399001,1996-05-28,1563.46,1562.33,1540.89,1579.72,217458600.0,940834000.0,-0.0019101525566657118
sz399001,1996-05-27,1597.07,1565.32,1557.87,1599.25,330411000.0,1455335000.0,-0.006537109201457225
sz399001,1996-05-24,1550.12,1575.62,1530.52,1605.54,505978400.0,2397378000.0,0.012244950403453636
sz399001,1996-05-23,1644.38,1556.56,1542.12,1652.31,833263600.0,3658892000.0,-0.04011445415358805
sz399001,1996-05-22,1552.92,1621.61,1542.72,1621.67,606697200.0,2805655000.0,0.026354930789824982
